# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
jf	時	里 圼 蚶 旰 旪 虷 旱 昧 䖞
jfc	野	蚑 㫢
jfk	蟛	蛣
jfo	㬨	黒 㫱
jg	量	旦 旺 蚟 蚨 㫙
jgh	題	是 昰
jgq	㦹	㫕
jh	早	冒 㫔 申 虲
jj	晶	昌 昍 蚎 䖵
jjl	蟃	蝹 㬈
jl	曙 曼	昷 蛼 䖬
jm	遇 愚	蚰 旵 蛽
jn	昵	蛡
jnh	暇	蝞 虯
jnw	曜	蚗
jo	曠	炅 㫧 炚
joo	蟧	晱 䗊
jqk	冕	昫 蚼 㫥
jqm	㬇	蝜
jqw	遏	欥 㰩
jqy	䗜	旳 虳
jr	蝗	昕 蚯 蚚
jry	曒	蚸
js	顆	果 虰 杲 晡 蚞 蜅
jsf	螵	䗎 㬍 䗚
jtd	蜂	蛞
jtj	蝮	蜊
jtu	蝌	㫡 昸
jtv	䗻	蜲
ju	暗 曦	昱 蛘 昗
jug	曦	㫠
jv	照	旯 妟 旫 虭 蛝
jvi	曃	㫽
jvp	㫶	螁
jw	蛤 晗	㬰
jwr	䗄	蚥
jwy	暹	蜼 㫿 䖠
jx	昆 蚓	㫐 蠅
jy	影 景	昘 昉 蚄 旻 蚊 旼
jyb	暾	蜳 㬀
jyn	蝙	虻 昈
jyv	螂	蜋 㫰
jyw	晬	蚢
jyx	蟀	昡 蚿
ka	呀 哎	叿
kaf	嘞	㗆
kaj	噶	唶
kam	咂	嗊
kan	喋	呭
kb	啊 吸	咠 吇 咡 叩 吔
kbb	囁	㖿
kck	䣈	咍
kco	㘐	嗎
kd	喊 順	咕 㕦 吠
kde	嘠	哊 㗅
kdh	嘎	㕩 吥
kdj	喱	咟
kdw	嘶	唭
ke	咖	另 肙 㕰 叻
kee	嗋	㗖
keq	鵑	唲
kfh	嗔	唗
kfk	嘻	咭
kg	號	呈 㕵 㕶 呋
kgb	噸	郢
kge	啄	啨
kgn	饕	号
khc	踴	跁 㕜
khd	跨	跖 跍
khf	跬	跊
khg	趼	趺
khj	踢	啅
khk	躁	呫
khm	蹦	䟖 䟺
khp	踪	迚
khq	跑	哯
khr	躓	䟬
khx	嘴	呲
kit	嗨	吵
kk	哭	吅
kkd	器	哭
kkj	戰	丳
kkl	獸	㽞
kl	喂 嗯	呬 呷 唓
km	吊	員 唄
kma	嗣	㖆
kmd	喘	啱 咉
kmf	啁	呥
kn	叫 哪	㕧 吣
kna	㗃	呡
knw	嘐	吷
ko	嘛	咪 吙
kpq	啘	㕪
kpw	嚓	㕴
kq	吹	兄 唫
kqe	嘝	啗 唃
kqo	嚕	嗚 鳴
ksf	嘌	㖶 㗘
ksj	喳	㖦 嘾
kss	噤	啉 㗚
kt	呂 川	呚 咊
kta	噬	呏 吒
ktf	唾	吀 吘 咮
ktg	啣	吽 哖 呹
ktj	嘚	㗍 唎
ktu	呼	咚
ktv	㘉	唩
ku	咬 噫	㕸 咩 㖕
kue	嚨	㗴
kun	嗴	唴
kw	啥	只 叭 㕥
kwc	嗡	吺 㕬
kwr	嗲	㕮
kwx	㗶	吪
kxx	噝	吡
ky	咳	唁 㕫 呅
kyv	啷	哴
kyx	㗜	呟
la	軾 羈	㘟
laa	軾	輚
lb	輒	囝
lc	圎 輟	囜 㘝
lcf	圗	軽
ld	恩	因 固 罟 軲 畎 軑
lf	園	軒 団 䍐
lft	署	团
lg	車 輛	囯 軖 畉 䡍
