# 词序重排明细（2026-09-15）：按 rime-essay 单字有效字频（繁取自身与简体之大者）重排重码行，排除一级简码 25 行与字根行 4 行；共改动 1307 行。格式: 编码<Tab>原序<Tab>新序
kqe	啗 唃	唃 啗
kqj	咰 別	別 咰
kqo	嗚 鳴	鳴 嗚
kr	听 史 㕷	史 听 㕷
ks	呆 叮 哂 哺 㕲	呆 叮 哺 哂 㕲
ksj	㖦 嘾	嘾 㖦
kt	呚 咊	咊 呚
kta	呏 吒	吒 呏
ktf	吀 吘 咮	咮 吘 吀
ktg	吽 哖 呹	哖 吽 呹
ktj	㗍 唎	唎 㗍
ku	㕸 咩 㖕	咩 㕸 㖕
kv	叨 㕤 叧 哏	叨 哏 叧 㕤
kwyk	唅 嗆	嗆 唅
kwyn	吟 唸 㗹	唸 吟 㗹
ky	唁 㕫 呅	唁 呅 㕫
lccc	畷 罬 輟	輟 畷 罬
ld	因 固 罟 軲 畎 軑	因 固 罟 畎 軲 軑
le	男 胃 㘞 軞 㽖 䡃	男 胃 軞 㘞 㽖 䡃
lfc	囩 転 䡋	転 囩 䡋
lff	畦 罣 畤	畦 畤 罣
lfke	園 瞏 轅	園 轅 瞏
lfok	黠 點 黬 䵱	點 黠 黬 䵱
lfon	黔 黗 黤 黮 䵝	黔 黮 黤 黗 䵝
lfoq	黟 黕 黖	黟 黖 黕
lfuf	圉 睪	睪 圉
lg	囯 軖 畉 䡍	囯 畉 軖 䡍
lge	畏 圊 輤 圂	畏 圊 圂 輤
lgjf	團 轉	轉 團
lhng	囗 四 皿 罒	四 囗 皿 罒
ljfp	廽 逥	逥 廽
lk	回 軎 甽 䡅	回 甽 軎 䡅
lke	㘣 罥	罥 㘣
lkp	廻 迴	迴 廻
lll	畾 轟	轟 畾
llld	奰 礨	礨 奰
llll	田 轠 〇	田 〇 轠
lllo	䴑 鸓 䴎	鸓 䴑 䴎
lm	軸 軕 買	買 軸 軕
ln	思 囙 翈 軋	思 軋 囙 翈
