简码检测明细附录(v0.1)	
=== 三级缺失槽位(不含高频候选的部分) ===
vos	原: 嬷	孊〔1002194,无简码〕 嫲〔1002193,无简码〕 嬤〔1002191,无简码〕
vpj	原: 婶	彚〔1002125,无简码〕 嫇〔1002124,无简码〕
vpt	原: 姹	嬸〔1002079,无简码〕
vqm	原: 㛟	嫓〔1001994,无简码〕 媍〔1001993,无简码〕
vuj	原: 婵	㛺〔1001581,无简码〕 嫜〔1001579,无简码〕 嬑〔1001578,无简码〕
vye	原: 妫	㛄〔1001240,无简码〕 㜲〔1001239,无简码〕
wat	原: 侥	備〔1000983,无简码〕 憊〔1000981,无简码〕 㷶〔1000980,无简码〕
wfn	原: 传	儔〔1000359,无简码〕 怤〔1000352,无简码〕 俧〔1000349,无简码〕
wgu	原: 侠	伻〔999727,无简码〕
wkk	原: 侣	僤〔999280,无简码〕 偘〔999274,无简码〕 侃〔999271,无简码〕 偔〔999270,无简码〕 僺〔999263,无简码〕
wov	原: 偻	傭〔998865,无简码〕 傏〔998863,无简码〕
wqr	原: 偬	伆〔998645,无简码〕
wre	原: 飕	㸖〔998558,无简码〕
wtd	原: 侨	佸〔998288,无简码〕 倁〔998282,无简码〕 僑〔998281,无简码〕 仸〔998276,无简码〕
wyj	原: 侪	儕〔996340,无简码〕 㑪〔996339,无简码〕
xqi	原: 弥	絩〔994151,无简码〕
xte	原: 乡	㢳〔993801,无简码〕
xtw	原: 飨	縱〔993642,无简码〕
yca	原: 弃	棄〔992521,无简码〕
ydm	原: 斋	䛔〔992321,无简码〕
yem	原: 赢	亹〔992185,无简码〕 斖〔992184,无简码〕 裔〔992182,无简码〕 贏〔992173,无简码〕
yrb	原: 离	訩〔990010,无简码〕 㐫〔990007,无简码〕 離〔989992,无简码〕
=== 占用冲突全量 ===
qgu	占用: 錸〔1027642,现有qgu,qgus,qsww〕	更常用无简码: 鋏〔1032137,无简码〕 匉〔1031095,无简码〕
qg	占用: 印〔1031564,现有qg,qgb,qgbh〕	更常用无简码: 鋏〔1032137,无简码〕
sw	占用: 槍〔1016539,现有sw,swyk〕	更常用无简码: 栰〔1016969,swa,sway〕 㭖〔1016966,无简码〕 棇〔1016954,无简码〕 㮬〔1016953,无简码〕
pyn	占用: 冖〔1033293,现有pyn〕	更常用无简码: 礼★〔1033665,无简码〕
lft	占用: 署〔1050539,现有lft,lftj〕	更常用无简码: 团★〔1050893,无简码〕
mw	占用: 嶺〔1044834,现有mw,mwym〕	更常用无简码: 嵡〔1045148,mwc,mwcn〕 䝩〔1045136,mwe,mwet〕 賒〔1045126,mwf,mwfi〕 嵛〔1045119,mwg,mwgj〕
